,max_acc_re_raw,std_acc_re_raw,var_acc_re_raw,iqr_acc_re_raw,mad_acc_re_raw,max_acc_re_jerk,min_acc_re_jerk,range_acc_re_jerk,std_acc_re_jerk,var_acc_re_jerk,mad_acc_re_jerk,max_gyro_re_raw,std_gyro_re_raw,var_gyro_re_raw,iqr_gyro_re_raw,mad_gyro_re_raw,max_gyro_re_jerk,min_gyro_re_jerk,range_gyro_re_jerk,std_gyro_re_jerk,var_gyro_re_jerk,mad_gyro_re_jerk,fall_adl_bin,person_id
462,97.87586672954677,12.762683071856701,162.8860791926576,6.856993078108539,3.613139213257692,59.18444096607819,-52.80525934828577,111.98970031436397,10.224703412358988,104.54455987070554,0.8491476915343643,6.086842477015485,1.6371334217032492,2.6802058404577886,2.890891492548885,0.9086063046053774,3.348245457121732,-3.3929823618506822,6.741227818972414,0.6633862061867892,0.44008125855890123,0.16611736461594762,1,P06
463,106.34649254300774,15.073851625894486,227.22100283948186,5.41700010238314,2.264825378129128,46.307489721710084,-61.509403129666026,107.81689285137611,10.936716502790805,119.61176786241674,0.4494024418006406,6.123297302107746,1.5519293960448965,2.4084848503082776,2.467762898808396,1.1998796824564406,1.2269935888573222,-4.424548681551464,5.651542270408786,0.6097956792001071,0.3718507703711199,0.12329893304986345,1,P06
468,110.6794818814219,11.973663657571267,143.36862138464295,2.600826831177587,1.538335146056549,72.66824175090261,-90.06412858491011,162.73237033581273,12.959017910872157,167.93614521430538,0.6382568239789297,4.916467799141982,1.153870575007886,1.3314173038690291,1.2922945512600876,0.7241934635999059,1.1232821748942046,-1.1565099842190536,2.279792159113258,0.326776917652881,0.10678315391071777,0.10012505938697053,1,P06
475,102.26704787369194,17.738830906119215,314.6661219158903,7.40999691569019,3.0483256498409688,31.654652088612693,-25.779939344149525,57.43459143276222,6.772579851176807,45.86783784056606,0.8206034474668193,7.455603268683226,1.7007857727872036,2.892672244915365,2.2924815868623982,0.7725242932588587,2.2952787872019678,-2.014638582921555,4.309917370123523,0.608126612227885,0.3698179764997644,0.159980770848553,1,P06
532,18.959631984297584,0.6803715567834788,0.4629054552799746,0.9415746507135054,0.4444277191512356,0.6958822759070173,-0.9176573661751597,1.613539642082177,0.2804016091134389,0.0786250623934058,0.12513600170590777,1.1121811992656594,0.27936319675957677,0.07804379570373002,0.4915009098992625,0.2183534588215601,0.432016737331519,-0.1827949674145143,0.6148117047460333,0.06752331755459051,0.004559398413578071,0.018466111647566175,-1,P06
535,18.182741174256428,0.3546182296900203,0.12575408882848402,0.3289392850676549,0.17378914188505412,0.6630888856373325,-0.8303076867020103,1.4933965723393428,0.20843718383543272,0.04344605960524598,0.12952844612985004,0.9197883289105162,0.26849706139124835,0.07209067197573578,0.4585504080830145,0.19890838008110778,0.04894153903955134,-0.09927342525316485,0.1482149642927162,0.024747649861243042,0.0006124461736546828,0.010690937630070507,-1,P06
536,24.09158943241396,1.9244117138652872,3.7033604444619317,1.6334758114214374,0.8536122230016367,2.393515461819021,-1.9972249587838498,4.390740420602871,0.7623935838809689,0.5812439767428679,0.40862412264291237,1.8563844995043457,0.4265784164519893,0.1819691453826868,0.6436934971641226,0.28803971458031974,0.5723452425324231,-0.21338591028547893,0.7857311528179021,0.09888106733773583,0.009777465477849847,0.04618540601662047,-1,P06
537,18.82508316847498,0.8310005306045576,0.6905618818650562,1.254806933570631,0.6143151857707849,1.6466623169024395,-0.7722465564859249,2.4189088733883644,0.3734473111896296,0.13946289423476405,0.22027925377833135,1.1645877253345924,0.30875408105173247,0.09532908256609977,0.47947794625725826,0.25646489816266654,0.3424899383171207,-0.33183460372092555,0.6743245420380463,0.06863522647284255,0.004710794312978386,0.022468583474151718,-1,P06
538,18.890923337412598,0.6947634676438705,0.48269627597253556,0.937961994737357,0.4807889044962437,0.8760077591822686,-1.4544647286203372,2.3304724878026057,0.31028484733828443,0.09627668648774247,0.13778897551070735,1.4866170522363855,0.3988828956866915,0.1591075644714,0.638205909894554,0.32781927568447755,0.5680177593262932,-0.26331674431006125,0.8313345036363544,0.08182064337193343,0.006694617681797113,0.01961715880988943,-1,P06
541,17.799808791388745,0.9087064867620575,0.8257474790834413,1.4974658819367566,0.8204230383179345,0.8508804400606245,-0.733447668474625,1.5843281085352494,0.2934672839784995,0.08612304676571729,0.2042553652559409,1.1954061527363828,0.31430189010017323,0.09878567812054137,0.5544724134998611,0.27427056044002557,0.3046131007757076,-0.2202274492304831,0.5248405500061907,0.05200188781797075,0.0027041963366328144,0.018673335295301713,-1,P06
